Project_URL,Categories,Technology,Priority
https://www.drusktradingcompany.com/,"Wholesale / B2B, Essential oils / Cooking oils / Olive oils, Website / Web App",Shopify,3
https://webgardencentre.com/,"Ecommerce , Plants / Environment / Agriculture, Product Options, Website / Web App",Shopify,5
https://microdermamitt.com/,"Ecommerce , Skin Care / Beauty, Product Options, Website / Web App",Shopify,4
https://apps.shopify.com/gatsby,"Ecommerce , Plugins / Apps / Extensions , Point of sale / POS, Rewards / Discounts / Coupons / Offers","Shopify, Engagement, Social Media",7
https://apps.shopify.com/postpop,"Ecommerce , Plugins / Apps / Extensions",Shopify,5
https://apps.shopify.com/my-envelope,"One Page Checkout, Ecommerce , Plugins / Apps / Extensions",Shopify,5
https://apps.shopify.com/us-print-factory,"Ecommerce , Plugins / Apps / Extensions , DropShipping / Logistics, Tools / Customisers / Personalisers",Shopify,6
https://apps.shopify.com/group-shop,"Ecommerce , Plugins / Apps / Extensions",Shopify,6
https://apps.shopify.com/ecom-shipping,"One Page Checkout, Ecommerce , Plugins / Apps / Extensions , DropShipping / Logistics, Online Calculators",Shopify,3
https://apps.shopify.com/returnzap,"Ecommerce , Plugins / Apps / Extensions",Shopify,7
https://apps.shopify.com/noqoody,"Ecommerce , Plugins / Apps / Extensions , Payment gateways",Shopify,5
https://apps.shopify.com/bazar-widget,"Ecommerce , Plugins / Apps / Extensions , Rewards / Discounts / Coupons / Offers, Survey",Shopify,5
https://apps.shopify.com/sizeme,"Ecommerce , Plugins / Apps / Extensions , Tools / Customisers / Personalisers",Shopify,5
https://apps.shopify.com/seo-booster-linkify,"Ecommerce , Plugins / Apps / Extensions , AI integration / OpenAI / ChatGPT","Shopify, OnPage SEO, SEO",5
https://apps.shopify.com/fraudlabs-pro-fraud-prevention,"Ecommerce , Plugins / Apps / Extensions , Online security / Fraud prevention",Shopify,5
https://apps.shopify.com/ecommerce-supply-chain,"Ecommerce , Plugins / Apps / Extensions , DropShipping / Logistics",Shopify,3
https://apps.shopify.com/efmx-app,"Ecommerce , Plugins / Apps / Extensions , DropShipping / Logistics, Website / Web App",Shopify,3
https://apps.shopify.com/quick-catalogs,"Ecommerce , Plugins / Apps / Extensions",Shopify,5
https://apps.shopify.com/hr-vegan-cosmetics-soaps,"Ecommerce , Plugins / Apps / Extensions , DropShipping / Logistics",Shopify,5
https://lilacstudio.ae/collections/gift-box/products/gift-box-babe-with-crystals,"Clothing / Textile / Apparels / Clothes / T-shirts, Ecommerce , Tools / Customisers / Personalisers, Product Options, Bags / Backpacks, Website / Web App",Shopify,5
https://bikescootercity.com.au/,"Automobiles / Automotive / Car Dealers, Maps / Google Map / GPS , Ecommerce , Website / Web App",Shopify,5
https://nuxactive.com/,"Clothing / Textile / Apparels / Clothes / T-shirts, Ecommerce , Rewards / Discounts / Coupons / Offers, Website / Web App",Shopify,6
https://www.dropbottle.com/,"Landing Pages, Ecommerce , Website / Web App",Shopify,7
https://woodie-milano.com/,"Multicurrency, Ecommerce , Electronics, Website / Web App",Shopify,6
https://specseyewear.com/,"Ecommerce , Online Appointments Booking, Sunglasses / Eyewear / Lenses, Website / Web App",Shopify,6
https://www.tojilife.com/,"Subscriptions  /  Subscribe , Ecommerce , Rewards / Discounts / Coupons / Offers, Essential oils / Cooking oils / Olive oils, Product Options, Website / Web App",Shopify,4
https://www.sleepingbaby.com/,"Clothing / Textile / Apparels / Clothes / T-shirts, Ecommerce , Kids, Bundled products, Product Options, Website / Web App",Shopify,5
https://buddhapants.co.uk/,"Clothing / Textile / Apparels / Clothes / T-shirts, Multicurrency, Fashion, Ecommerce , Web + Mobile Apps, Product Options, Website / Web App",Shopify,6
https://mondayswimwear.com/,"Clothing / Textile / Apparels / Clothes / T-shirts, Multicurrency, Ecommerce , Rewards / Discounts / Coupons / Offers, Website / Web App","Shopify, Shopify Plus",7
https://www.swati.com/,"Ecommerce , Skin Care / Beauty, Multilingual, Rewards / Discounts / Coupons / Offers, Sunglasses / Eyewear / Lenses, Product Options, Website / Web App","Shopify, Shopify Plus",5
https://mytexasparks.com/,"Clothing / Textile / Apparels / Clothes / T-shirts, Ecommerce , Website / Web App",Shopify,5
https://www.antzara.com/,"Ecommerce , Liquor / Wine, Comparison / Compare products, Website / Web App",Shopify,5
https://shophomemed.com/,"Subscriptions  /  Subscribe , Ecommerce , Medical / Pharmacy / Medicines, Rewards / Discounts / Coupons / Offers, Website / Web App",Shopify,6
https://www.langly.co/,"Multicurrency, Ecommerce , Product Options, Store Locator, Website / Web App","Shopify, Shopify Plus",6
https://reasonclothing.com/,"Clothing / Textile / Apparels / Clothes / T-shirts, Multicurrency, Ecommerce , Web + Mobile Apps, Rewards / Discounts / Coupons / Offers",Shopify,5
https://shupaca.com/,"Clothing / Textile / Apparels / Clothes / T-shirts, Multicurrency, Ecommerce , Kids, Website / Web App",Shopify,5
https://alavonauersperg.com/,"Clothing / Textile / Apparels / Clothes / T-shirts, Wedding , Ecommerce , Website / Web App",Shopify,6
https://mainstreetbella.com/,"Clothing / Textile / Apparels / Clothes / T-shirts, Ecommerce , Events, Product Options, Bags / Backpacks, Website / Web App",Shopify,4
https://thxsilk.com/,"Clothing / Textile / Apparels / Clothes / T-shirts, Multicurrency, Multisite, Ecommerce , Product Options, Website / Web App",Shopify,6
https://www.venque.com/,"Multicurrency, Ecommerce , Rewards / Discounts / Coupons / Offers, Bags / Backpacks, Website / Web App",Shopify,5
https://www.neonsigns.co.nz/,"Multicurrency, Ecommerce , Tools / Customisers / Personalisers, Product Options, Website / Web App",Shopify,6
https://burdeens.com/,"Jewellery , Watches , Multicurrency, Ecommerce , Marketplace, Website / Web App",Shopify,6
https://www.lauraleejewellery.com/,"Jewellery , Multicurrency, Ecommerce , Product Options, Website / Web App",Shopify,5
https://www.elvisandkresse.com/,"Multicurrency, Ecommerce , Bags / Backpacks, Website / Web App",Shopify,5
